Speaker	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
15_vms	brata	uy	monophthong	c	morsa	yemma	xes	madrasa	gar	palatal	kam	0	cop	I	palatal	duccana	mutra	ate	l	lena	II	alula	o	suffix	samet	ida	a	v	metla	kamta	palatal	baxtay	ci	beta	gasek	uy	cu	len	i	katu	ev	ux	varda	al	palatal	av	II	e	0	0	tane	hec	nata	0	y	an	sare	le	xa	present	0	atya	cames	s	bnune	axnan	e
16_ast	brata	u	monophthong	c	morsa	yemma	xes	madrasa	garec	affricate	kam	ni	cop	I	affricate	duccana	mutra	ate	l	lena	II	cuca	o	analytic	samet	ida	a	v	mettelta	kamta	affricate	baxtaye	ci	beta	pacer	uy	hec	len	a	katu	ev	ux	varda	al	affricate	u	II	e	0	0	tane	hec	nata	0	y	eni	sare	le	xa	progressive	0	atya	cames	s	bnunvate	axnan	e
17_nlt	brata	u	monophthong	c	kedamta	yemma	xes	madrasa	garec	affricate	kam	ni	0	I	velar	duccana	mutra	ate	0	lena	II	cuca	o	analytic	samet	ida	a	v	mettelta	kamta	affricate	baxtaye	ci	beta	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	II	e	0	ni	tane	hec	nata	0	y	eni	sare	lun	xa	progressive	0	atya	cames	s	bnune	axnan	e
18_kmt	brata	uy	monophthong	c	morsa	yemma	xes	uskol	gar	affricate	kam	ni	cop	I	n.a.	magazin	mutra	ate	0	lena	II	cuca	o	suffix	samet	ida	a	v	mettelta	kamta	affricate	baxtaye	ci	beta	gasek	uy	hec	len	a	katu	ev	un	varda	al	affricate	av	n.a.	e	0	0	tane	cu	nata	0	y	eni	sare	lun	xa	progressive	0	atya	n.a.	s	brunvate	axnan	e
19_vnm	brata	uy	monophthong	c	morsa	yemma	xes	uskol	gar	affricate	kam	ni	cop	I	affricate	xamut	mutra	ate	0	lena	II	alula	o	suffix	samet	ida	a	y	mettelta	kamta	affricate	baxtaye	ci	beta	gasek	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	n.a.	e	0	ni	tane	hec	nata	0	y	n.a.	sare	lun	xa	progressive	0	atya	cames	s	bnune	axnan	e
20_lbt	brata	uy	monophthong	c	morsa	yemma	xes	madrasa	gar	affricate	kam	0	cop	I	velar	duccana	mutra	ate	l	lena	II	cuca	o	suffix	samet	ida	a	v	mettelta	kamta	affricate	baxtaye	ci	beta	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	av	II	u	0	0	tane	cu	nata	0	y	eni	sare	le	xa	present	0	atya	cames	s	brunvate	axnan	e
21_mib	brata	uy	monophthong	c	morsa	yemma	xes	madrasta	gar	affricate	kam	0	0	I	affricate	duccana	mutra	ate	0	lena	II	cuca	o	suffix	samet	ida	a	y	mettelta	kamta	affricate	baxtaye	n.a.	beta	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	II	e	0	0	tane	hec	nata	0	y	eni	sare	lun	xa	progressive	0	atya	cames	s	bnune	axnan	e
22_agg	brata	u	monophthong	c	morsa	mama	xes	madrasa	garec	velar	kam	0	cop	II	velar	duccana	mutra	ate	0	lena	II	cuca	o	suffix	samet	ida	a	v	mettelta	kamta	velar	baxtay	ci	beta	gasek	uy	hec	len	a	katu	ev	ux	varda	al	affricate	av	II	e	0	0	tane	hec	nata	0	y	an	sare	lun	xa	progressive	0	atya	cames	t	bnune	axnan	e
23_tmj	cecca	u	monophthong	g	kedamta	daha	zel	madrasa	garet	velar	kem	0	cop	I	velar	magazin	aryana	azel	l	len	I	cuca	av	suffix	taver	ida	u	v	metla	kamaya	velar	baxta	n.a.	biyya	xayer	u	cu	lena	i	talu	u	ux	bubla	ris	velar	u	I	e	t	0	amer	cu	naviyya	0	0	eni	dares	le	xda	progressive	t	aya	n.a.	s	brunvate	axnax	e
24_lab	brata	uy	monophthong	c	morsa	yemma	xes	uskol	garec	affricate	kam	ni	cop	I	affricate	kooperativ	mutra	ate	0	lena	II	cuca	o	suffix	samet	drana	a	y	mettelta	kamta	affricate	baxtay	ci	beta	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	II	e	0	ni	tane	hec	nata	0	y	eni	sare	lun	xa	progressive	0	atya	cames	s	bnune	axnan	e
